 Distance from Base (TBH),Address,Bikes Available,Latitude,Longitude,Station ID,Station Name,Station Plus-Codes,Station Status,Total Docks,Zipcode
2.1,"Shedd Aquarium, 1200 S DuSable Lake Shore Dr., Chicago, IL",40,41.86722596,-87.61535539,3,Shedd Aquarium,86HJV98M%2BVV,Excess,55,60605
2.6,"Burnham Harbor, 1559 S Lake Shore Dr, Chicago, IL",22,41.85741179,-87.61379153,4,Burnham Harbor,86HJV94P%2BXF,Excess,23,60605
1.6,"E Harrison St & S State St, Chicago, IL",21,41.874053,-87.627716,5,State St & Harrison St,86HJV9FC%2BJW,Excess,23,60605
2.9,"DuSable Harbor, 111 N Lake Shore Dr., Chicago, IL",9,41.886976,-87.612813,6,Dusable Harbor,86HJV9PP%2BQV,Deficit,39,60601
3.1,"Divvy, Field Blvd & South Water St, Chicago, IL",18,41.88634906,-87.61751655,7,Field Blvd & South Water St,86HJV9PJ%2BGX,Excess,19,60601
3.4,"S Archer Ave & S Leavitt St, Chicago, IL",1,41.82879202,-87.68060446,9,Leavitt St & Archer Ave,86HJR8H9%2BGQ,Deficit,15,60609
9.2,"S Jeffery Blvd & E 71st St, Chicago, IL",2,41.76663824,-87.57645011,11,Jeffery Blvd & 71st St,86HJQC8F%2BMC,Deficit,11,60649
9.5,"E 71st St & E South Shore Dr, Chicago, IL",8,41.76640946,-87.56568757,12,South Shore Dr & 71st St,86HJQC8M%2BHP,Sufficient Quantity,15,60649
4.8,"W Diversey Pkwy & N Wilton Ave, Chicago, IL",12,41.932418,-87.652705,13,Wilton Ave & Diversey Pkwy,86HJW8JW%2BXW,Deficit,35,60614
0.7,"W 18th St & S Morgan St, Chicago, IL",8,41.858086,-87.651073,14,Morgan St & 18th St,86HJV85X%2B6H,Sufficient Quantity,15,60608
1,"W 18th St & S Racine Ave, Chicago, IL",5,41.858166,-87.656495,15,Racine Ave & 18th St,86HJV85V%2B7C,Deficit,15,60608
3.4,"N Paulina St & W North Ave, Chicago, IL",9,41.90985465,-87.66993016,16,Paulina Ave & North Ave,86HJW85J%2BW2,Excess,15,60622
3.6,"N Honore St & W Division St, Chicago, IL",6,41.903119,-87.673935,17,Honore St & Division St,86HJW83G%2B6C,Deficit,23,60622
1.7,"W Washington St & N Upper Wacker Dr, Chicago, IL",5,41.88314336,-87.63724208,18,Wacker Dr & Washington St,86HJV9M7%2B74,Deficit,15,60606
0.9,"S Throop St & W Taylor St, Chicago, IL",2,41.868968,-87.659141,19,Throop St & Taylor St,86HJV89R%2BH8,Deficit,15,60607
4.2,"Divvy, Sheffield Ave & Kingsbury St, Chicago, IL",14,41.910522,-87.653106,20,Sheffield Ave & Kingsbury St,86HJW86W%2B6Q,Excess,15,60642
1.2,"S Aberdeen St & Jackson Blvd, Chicago, IL",19,41.87772613,-87.65478743,21,Aberdeen St & Jackson Blvd,86HJV8HW%2B33,Excess,23,60607
0.7,"S May St & W Taylor St, Chicago, IL",12,41.8694821,-87.6554864,22,May St & Taylor St,86HJV89V%2BQR,Excess,15,60607
3.5,"N Orleans St & W Elm St, Chicago, IL",1,41.902924,-87.637715,23,Orleans St & Elm St,86HJW936%2B5W,Deficit,15,60610
3.3,"E Grand Ave & N Fairbanks Ct, Chicago, IL",2,41.89184737,-87.6205802,24,Fairbanks Ct & Grand Ave,86HJV9RH%2BPQ,Deficit,15,60611
3.7,"Michigan Ave & E Pearson St, Chicago, IL",23,41.89766,-87.62351,25,Michigan Ave & Pearson St,86HJV9XG%2B3H,Excess,23,60611
3.2,"E Illinois St & N New St, Chicago, IL",29,41.89084704,-87.61861682,26,New St & Illinois St,86HJV9RJ%2B8H,Excess,31,60611
3.1,"N Larrabee St, Chicago, IL",16,41.91021,-87.6435,27,Larrabee St & North Ave,86HJW964%2B3H,Excess,19,60610
3.6,"W Menomonee St & N Larrabee St, Chicago, IL",1,41.91468,-87.64332,28,Larrabee St & Menomonee St,86HJW974%2BVM,Deficit,15,60614
3,"N Noble St & N Milwaukee Ave, Chicago, IL",12,41.90068,-87.6626,29,Noble St & Milwaukee Ave,86HJW82P%2B7X,Excess,15,60642
3.2,"W Augusta Blvd & Ashland Ave, Chicago, IL",8,41.899643,-87.6677,30,Ashland Ave & Augusta Blvd,86HJV8XJ%2BVW,Sufficient Quantity,15,60622
